"EventID";"Filename";"Index_In_File";"X";"Y"
"175764";"Snail5_Phago_20_Nuc_processed";"3850";"-4496.683";"10556.389"
"132261";"Snail4_NoBact_6_Nuc_processed";"9480";"4121.6436";"8092.5513"
"124194";"Snail4_NoBact_6_Nuc_processed";"1413";"-5877.0044";"5209.4873"
"74823";"Snail2_Phago_17_Nuc_processed";"7583";"-285.40527";"-20803.023"
"26524";"Snail1_NoBact_3_Nuc_processed";"7413";"-6876.6123";"-3025.2686"
"178394";"Snail5_Phago_20_Nuc_processed";"6480";"6929.5303";"-5946.195"
"40176";"Snail2_EDTA_23_Nuc_processed";"1467";"-2784.266";"7397.387"
"3030";"Snail1_EDTA_22_Nuc_processed";"3030";"-3280.23";"2944.8303"
"135328";"Snail4_Phago_19_Nuc_processed";"2761";"-1180.8578";"9494.965"
"37163";"Snail1_Phago_16_Nuc_processed";"8200";"4687.634";"9645.282"
"172713";"Snail5_Phago_20_Nuc_processed";"799";"-4782.5044";"3043.8284"
"150148";"Snail5_EDTA_26_Nuc_processed";"7614";"-2811.8616";"4025.1443"
"33228";"Snail1_Phago_16_Nuc_processed";"4265";"5265.2373";"-7268.2554"
"33979";"Snail1_Phago_16_Nuc_processed";"5016";"5459.5005";"6375.449"
"85399";"Snail3_EDTA_24_Nuc_processed";"8610";"-4717.6523";"-3603.8809"
"170280";"Snail5_NoBact_7_Nuc_processed";"8328";"3329.8525";"8070.469"
"62424";"Snail2_NoBact_4_Nuc_processed";"4805";"2681.8743";"5967.68"
"141382";"Snail4_Phago_19_Nuc_processed";"8815";"-1210.4479";"10937.025"
"105327";"Snail4_EDTA_25_Nuc_processed";"1799";"7108.6426";"-6265.288"
"8375";"Snail1_EDTA_22_Nuc_processed";"8375";"980.1991";"75.16408"
"16321";"Snail1_Ice_10_Nuc_processed";"6721";"-882.1283";"2636.2751"
"132476";"Snail4_NoBact_6_Nuc_processed";"9695";"4708.417";"-5966.7046"
"57066";"Snail2_Ice_11_Nuc_processed";"8677";"-7325.098";"5486.858"
"86589";"Snail3_Ice_12_Nuc_processed";"732";"-2211.0686";"-1137.0687"
"14310";"Snail1_Ice_10_Nuc_processed";"4710";"5783.183";"-5127.741"
"97895";"Snail3_NoBact_5_Nuc_processed";"3296";"9601.795";"2457.516"
"3437";"Snail1_EDTA_22_Nuc_processed";"3437";"-4546.5786";"-8011.6387"
"114605";"Snail4_Ice_13_Nuc_processed";"1191";"6435.492";"1487.5458"
"8964";"Snail1_EDTA_22_Nuc_processed";"8964";"-2229.4397";"5493.9175"
"30550";"Snail1_Phago_16_Nuc_processed";"1587";"6425.694";"-3903.3018"
"160523";"Snail5_Ice_14_Nuc_processed";"8262";"3155.7625";"1968.5621"
"58428";"Snail2_NoBact_4_Nuc_processed";"809";"329.37112";"4433.277"
"67752";"Snail2_Phago_17_Nuc_processed";"512";"-5585.713";"4128.933"
"114393";"Snail4_Ice_13_Nuc_processed";"979";"6658.798";"-3877.5562"
"174154";"Snail5_Phago_20_Nuc_processed";"2240";"-4142.7773";"-2001.7773"
"19920";"Snail1_NoBact_3_Nuc_processed";"809";"-5997.5645";"5691.191"
"11150";"Snail1_Ice_10_Nuc_processed";"1550";"-3990.7878";"-2232.6653"
"37714";"Snail1_Phago_16_Nuc_processed";"8751";"598.7643";"-854.52374"
"9842";"Snail1_Ice_10_Nuc_processed";"242";"-1978.0594";"-2253.3464"
"153285";"Snail5_Ice_14_Nuc_processed";"1024";"-3191.249";"9258.181"
"151258";"Snail5_EDTA_26_Nuc_processed";"8724";"-3108.4226";"11817.358"
"26877";"Snail1_NoBact_3_Nuc_processed";"7766";"-5554.6587";"-1146.5378"
"63154";"Snail2_NoBact_4_Nuc_processed";"5535";"4465.496";"10080.618"
"29115";"Snail1_Phago_16_Nuc_processed";"152";"812.4459";"3320.9756"
"177023";"Snail5_Phago_20_Nuc_processed";"5109";"969.7659";"892.341"
"33789";"Snail1_Phago_16_Nuc_processed";"4826";"-1476.0948";"-25962.834"
"35259";"Snail1_Phago_16_Nuc_processed";"6296";"-815.54926";"-22621.854"
"96063";"Snail3_NoBact_5_Nuc_processed";"1464";"-3894.3076";"11273.63"
"19074";"Snail1_Ice_10_Nuc_processed";"9474";"-2576.626";"6782.829"
"24187";"Snail1_NoBact_3_Nuc_processed";"5076";"9771.025";"2924.246"
"36876";"Snail1_Phago_16_Nuc_processed";"7913";"-2261.081";"3175.2395"
"12631";"Snail1_Ice_10_Nuc_processed";"3031";"125.94934";"257.77716"
"169509";"Snail5_NoBact_7_Nuc_processed";"7557";"8747.076";"4063.0684"
"135972";"Snail4_Phago_19_Nuc_processed";"3405";"1374.4218";"3673.6274"
"100349";"Snail3_NoBact_5_Nuc_processed";"5750";"5353.023";"-4913.1943"
"127051";"Snail4_NoBact_6_Nuc_processed";"4270";"6271.3374";"-4798.0254"
"171558";"Snail5_NoBact_7_Nuc_processed";"9606";"-4173.745";"3706.767"
"136610";"Snail4_Phago_19_Nuc_processed";"4043";"-3897.946";"5622.4077"
"98397";"Snail3_NoBact_5_Nuc_processed";"3798";"44.551064";"-23697.549"
"55729";"Snail2_Ice_11_Nuc_processed";"7340";"4867.51";"-3343.5266"
"173541";"Snail5_Phago_20_Nuc_processed";"1627";"5411.27";"-4263.768"
"60575";"Snail2_NoBact_4_Nuc_processed";"2956";"-3482.2532";"5697.0103"
"37538";"Snail1_Phago_16_Nuc_processed";"8575";"4464.9204";"-1778.2166"
"131368";"Snail4_NoBact_6_Nuc_processed";"8587";"-4480.075";"5813.861"
"146260";"Snail5_EDTA_26_Nuc_processed";"3726";"5987.1367";"-5800.337"
"161169";"Snail5_Ice_14_Nuc_processed";"8908";"4647.9595";"-5974.6665"
"153039";"Snail5_Ice_14_Nuc_processed";"778";"1248.9128";"5130.494"
"31117";"Snail1_Phago_16_Nuc_processed";"2154";"-2836.6133";"-29232.908"
"108360";"Snail4_EDTA_25_Nuc_processed";"4832";"-4116.998";"-9030.261"
"180451";"Snail5_Phago_20_Nuc_processed";"8537";"1454.8191";"4070.3406"
"127987";"Snail4_NoBact_6_Nuc_processed";"5206";"4042.82";"7763.854"
"88891";"Snail3_Ice_12_Nuc_processed";"3034";"-6849.654";"6377.311"
"124405";"Snail4_NoBact_6_Nuc_processed";"1624";"4629.958";"-4522.137"
"64572";"Snail2_NoBact_4_Nuc_processed";"6953";"-1994.7756";"-23962.17"
"22840";"Snail1_NoBact_3_Nuc_processed";"3729";"-3003.6072";"-132.40918"
"158031";"Snail5_Ice_14_Nuc_processed";"5770";"5553.48";"-5165.642"
"59454";"Snail2_NoBact_4_Nuc_processed";"1835";"4869.718";"8871.927"
"72072";"Snail2_Phago_17_Nuc_processed";"4832";"-1945.1617";"3138.648"
"99125";"Snail3_NoBact_5_Nuc_processed";"4526";"-2434.1125";"-26066.72"
"116522";"Snail4_Ice_13_Nuc_processed";"3108";"-2573.2617";"-27664.207"
"84016";"Snail3_EDTA_24_Nuc_processed";"7227";"909.5083";"441.37323"
"25235";"Snail1_NoBact_3_Nuc_processed";"6124";"2712.4304";"6719.6846"
"92380";"Snail3_Ice_12_Nuc_processed";"6523";"6340.1543";"-18075.316"
"16690";"Snail1_Ice_10_Nuc_processed";"7090";"-1214.4911";"5852.7827"
"117290";"Snail4_Ice_13_Nuc_processed";"3876";"7460.6255";"2042.2714"
