Cluster,Term,Count,:Area_Intensity_DHR,:Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch02,:Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch11,:Circularity_AdaptiveErode_BF,:Circularity_Morphology_DNA,:Contrast_AdaptiveErode_BF_Ch01,:Contrast_AdaptiveErode_BF_Ch06,:Diameter_AdaptiveErode_BF,:H.Energy.Mean_AdaptiveErode_BF_Ch01_5,:H.Energy.Mean_Intensity_DHR_Ch07_5,:H.Energy.Mean_Morphology_DNA_Ch11_5,:H.Entropy.Mean_AdaptiveErode_BF_Ch01_5,:H.Entropy.Mean_Intensity_Bac_Ch07_5,:H.Entropy.Mean_Morphology_DNA_Ch11_5,:Intensity_AdaptiveErode_BF_Ch02,:Intensity_AdaptiveErode_BF_Ch06,:Intensity_AdaptiveErode_BF_Ch07,:Intensity_AdaptiveErode_BF_Ch11,:Lobe.Count_Morphology_DNA_Ch11,:Max.Pixel_Intensity_Bac_Ch07,:Max.Pixel_Intensity_SSC_Ch06,:Std.Dev_AdaptiveErode_BF_Ch01
27443,Snail2_Phago_17_Nuc_processed,103,0,1.820854672,2.785471785,0.878128869,0.822150804,1.395705209,1.779419234,6.168294168,2.235076833,0,0.771885592,9.715777535,0,7.91899286,5.517996282,10.03010868,4.178652091,2.109963088,4.076964992,1.80162685,0.579309086,2.698363824
27443,Snail2_NoBact_4_Nuc_processed,14,0,1.552657179,3.976758545,0.869101943,0.754381552,1.562655542,2.018595691,5.823886518,2.473466442,0,1.028259855,9.976310222,0,7.406890994,5.41166202,10.31721442,3.369305613,2.562597907,4.076964992,1.243208978,0.847406177,2.930613754
27443,Snail1_NoBact_3_Nuc_processed,33,0,1.209364388,2.877166333,0.93762484,0.840563475,1.932699514,1.898813496,5.488279659,2.03409318,0,0.701642692,9.728092159,0,7.840590421,5.195981382,10.14480169,3.487349203,2.91236878,4.076964992,1.275960764,0.847290848,3.600402628
27438,Snail5_Ice_14_Nuc_processed,183,0,1.222155345,1.737824587,0.819923916,0.806457811,1.367635531,1.900302619,6.262266594,1.889415222,0,0.583077224,10.1000336,0,8.053686571,4.983753935,10.14278016,2.547008363,1.747622318,4.076964992,0,0.646997159,2.485814186
27438,Snail5_NoBact_7_Nuc_processed,201,0,1.241135475,1.744806419,0.821147027,0.839268375,1.19128734,1.725876618,5.548758552,1.879284639,0,0.691813281,9.965796108,0,7.669857081,5.197453772,9.890271869,2.46570588,1.282042259,4.076964992,0,0.574580104,2.388454372
27438,Snail3_Ice_12_Nuc_processed,154,0,1.513871695,2.306238639,0.922188983,0.870205825,1.443149911,1.967587187,6.141180404,1.98774529,0,0.486553232,10.16198034,0,8.187507046,4.910999968,10.30873071,2.328673108,1.574965628,4.076964992,0,0.719309731,2.49987543
27438,Snail4_Ice_13_Nuc_processed,210,0,1.265479656,2.009650588,0.849744484,0.767710409,1.28170169,1.829371623,6.134383324,1.881572563,0,0.517977579,10.10031556,0,8.147457298,5.058446514,10.26178558,3.049816602,1.35000831,4.076964992,0,0.661774409,2.33184658
27438,Snail1_Ice_10_Nuc_processed,160,0,1.317881119,2.116891531,0.782244549,0.815901238,1.270186405,1.855153671,6.168294168,1.932369943,0,0.577739019,10.18535746,0,8.005515722,5.250334948,10.18211696,2.801897321,2.284358259,4.076964992,0,0.698714612,2.566312126
27438,Snail3_EDTA_24_Nuc_processed,47,0,1.483751053,2.502195579,0.782692867,1.085056971,1.101409404,1.540624865,6.225517939,2.061923488,0,0.544603261,10.07207053,0,7.862449769,4.501340997,9.909989341,2.158078797,0.764621556,4.076964992,0,0.641155903,2.444077487
27438,Snail4_NoBact_6_Nuc_processed,306,0,1.305502874,2.282779865,0.854857246,0.773460861,1.28006105,1.972750273,5.76991062,2.052450312,0,0.691100887,9.844389785,0,7.821405615,4.964751793,10.09305488,2.477533669,1.472110468,4.076964992,0,0.700807852,2.423208104
